"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 20 03:20:05 UTC 2026","Wed May 20 03:20:05 UTC 2026","516","","com.example.messaging.AsyncMessagingIT","","com.example.messaging.AsyncMessagingIT","idempotencia_mesmoMessageId_duasVezes_persisteApenasUma","Idempotência: mesmo messageId duas vezes persiste apenas uma vez",""
"passed","Wed May 20 03:19:26 UTC 2026","Wed May 20 03:19:29 UTC 2026","3424","","com.example.messaging.messaging.MessagePublisherTest","","com.example.messaging.messaging.MessagePublisherTest","publish_deveEnviarMensagemComHeadersEContentTypeEsperados","publish_deveEnviarMensagemComHeadersEContentTypeEsperados()",""
"passed","Wed May 20 03:19:58 UTC 2026","Wed May 20 03:20:04 UTC 2026","5936","","com.example.messaging.AsyncMessagingIT","","com.example.messaging.AsyncMessagingIT","caminhoFeliz_mensagemPostada_consumida_ePersistida","Caminho feliz: POST aceita, consumer consome e persiste (DB=1, DLQ=0)",""
"passed","Wed May 20 03:20:04 UTC 2026","Wed May 20 03:20:05 UTC 2026","611","","com.example.messaging.AsyncMessagingIT","","com.example.messaging.AsyncMessagingIT","erroDeNegocio_mensagemInvalida_rejeitada_eVaiParaDlq","Erro de negócio: mensagem inválida é rejeitada e vai para DLQ (DB=0, DLQ=1)",""
